225
35 40
1	6	1
1	7	1
2	4	1
3	3	1
3	5	1
3	7	1
4	4	1
4	5	1
4	6	1
4	8	1
4	31	2
4	32	2
5	3	1
5	5	1
5	7	1
5	29	2
5	30	2
6	4	1
6	5	1
6	8	1
6	9	1
6	10	1
6	25	2
6	26	2
6	28	2
6	29	2
7	2	1
7	4	1
7	5	1
7	6	1
7	8	1
7	24	2
7	26	2
7	29	2
7	30	2
8	2	1
8	3	1
8	4	1
8	5	1
8	7	1
8	22	2
8	24	2
8	25	2
8	27	2
8	28	2
8	29	2
8	31	2
8	32	2
9	3	1
9	6	1
9	7	1
9	8	1
9	9	1
9	20	2
9	23	2
9	24	2
9	26	2
9	29	2
9	32	2
9	33	2
10	2	1
10	3	1
10	5	1
10	7	1
10	8	1
10	10	1
10	19	2
10	22	2
10	25	2
10	27	2
10	28	2
10	30	2
10	31	2
10	33	2
10	34	2
11	4	1
11	5	1
11	7	1
11	9	1
11	12	1
11	22	2
11	23	2
11	27	2
11	30	2
11	31	2
12	3	1
12	4	1
12	6	1
12	7	1
12	10	1
12	11	1
12	25	2
12	27	2
12	29	2
12	31	2
13	5	1
13	6	1
13	8	1
13	9	1
13	24	2
13	26	2
13	28	2
13	30	2
13	32	2
13	33	2
14	7	1
14	25	2
14	26	2
14	30	2
14	32	2
14	33	2
15	4	1
15	5	1
15	9	1
15	10	1
15	21	2
15	23	2
15	26	2
15	28	2
15	29	2
15	31	2
15	32	2
16	7	1
16	24	2
16	27	2
16	29	2
16	30	2
17	26	2
17	28	2
17	31	2
17	32	2
18	27	2
18	29	2
19	24	2
19	28	2
22	7	3
22	10	3
23	28	4
24	3	3
24	4	3
24	6	3
24	7	3
24	8	3
25	5	3
25	6	3
25	28	4
26	4	3
26	7	3
26	8	3
26	27	4
26	28	4
26	29	4
26	30	4
27	3	3
27	5	3
27	6	3
27	7	3
27	8	3
27	24	4
27	25	4
27	28	4
27	29	4
28	4	3
28	6	3
28	7	3
28	9	3
28	10	3
28	11	3
28	12	3
28	14	3
28	23	4
28	24	4
28	25	4
28	26	4
28	29	4
28	30	4
29	2	3
29	3	3
29	5	3
29	6	3
29	7	3
29	8	3
29	24	4
29	25	4
29	28	4
29	29	4
29	31	4
29	32	4
30	4	3
30	5	3
30	7	3
30	10	3
30	11	3
30	20	4
30	23	4
30	24	4
30	26	4
30	27	4
30	32	4
30	33	4
31	3	3
31	5	3
31	6	3
31	9	3
31	10	3
31	26	4
31	27	4
31	29	4
31	30	4
31	33	4
31	34	4
32	2	3
32	3	3
32	6	3
32	7	3
32	25	4
32	26	4
32	28	4
32	29	4
32	32	4
32	33	4
33	26	4
33	27	4
33	30	4
33	31	4
